Date,PFGOAAU LX Equity,SGVIEOP HK Equity,WEDINBU KY Equity,CCASORI MK Equity,CCASORI MK Equity,CCASLTF MK Equity,PFGLAAU LX Equity,PFARAAU LX Equity,PSGGFXU MV Equity,FBPBX US Equity,BLUESPH BM Equity,PGPGIFA ID Equity,CORGFRZ KY Equity,ORBGBIN LX Equity,AIBALMA AB Equity,FORTGOW KY Equity,GMFDEBI LE Equity,CRLCBUU LX Equity,PPLUCNH ID Equity
2021-07-16,133.6,14.478,13.41,2.8684,2.8684,3.6756,132.16,173.59,15.5556,21.97,1213.25,1.32,14.1723,17.85,21.4352,143.1,109.69,11.42,11.844
2021-07-23,133.6,14.247,13.4,2.8773,2.8773,3.6823,132.16,173.59,15.5394,22.13,1213.25,1.322,14.1723,17.55,21.5607,143.1,109.69,11.43,11.872
2021-07-30,135.02,14.702,13.69,2.8719,2.8719,3.6758,131.98,173.94,15.6641,22.3,1208,1.322,14.649,17.59,21.6715,142.31,109.75,11.42,11.822
2021-08-01,132.06,13.057,12.35,2.7881,2.7881,3.5564,126.85,161.48,14.4003,19.79,1177.3,1.287,12.3466,17.24,19.7152,129.8,108.95,11.19,11.434
2021-08-10,136.35,15.247,14.14,2.9079,2.9079,3.7229,131.96,177.9,16.2694,22.9,1196.3,1.336,14.5638,17.83,22.0984,139.78,110.09,11.57,11.801
2021-08-13,135.02,15.121,13.73,2.8722,2.8722,3.6788,131.98,173.94,16.0427,23.04,1208,1.328,14.649,17.66,22.0835,144.21,109.75,11.46,12.002
2021-08-20,135.02,14.913,13.03,2.8777,2.8777,3.6788,132.21,173.94,15.5274,22.64,1208,1.329,14.649,17.16,21.8556,144.21,109.75,11.47,11.88
2021-08-27,135.02,14.761,13.65,2.8856,2.8856,3.6939,132.21,173.94,16.0406,23.05,1208,1.331,14.649,17.59,22.0085,144.21,109.75,11.46,11.972
2021-09-04,129.06,13.599,12.86,2.8288,2.8288,3.6125,128.1,162.61,15.5597,22.03,1202.24,1.304,13.0454,17.74,20.7567,137.1,109.38,11.29,11.747
2021-09-07,133.6,14.825,13.63,2.8593,2.8593,3.6655,132.49,173.59,15.9875,22.36,1213.25,1.322,14.1723,17.78,21.3745,142.53,109.69,11.41,11.88
2021-09-17,136,15.117,13.45,2.9052,2.9052,3.7133,132.88,176.35,15.9241,22.5,1210.82,1.336,14.7997,17.67,22.1014,143.76,109.85,11.45,11.821
2021-09-24,136,15.091,13.61,2.9056,2.9056,3.7163,132.88,176.35,16.0338,22.65,1210.82,1.338,14.7997,17.68,22.0201,143.76,109.85,11.5,11.847
2021-10-09,136,15.062,13.6,2.8984,2.8984,3.7106,133.06,176.35,15.9432,22.43,1210.82,1.336,14.7997,17.66,22.1447,143.77,109.85,11.51,11.876
2021-10-12,139.92,15.582,14,2.93,2.93,3.7539,133.01,182.44,15.9576,23.24,1188.23,1.345,14.9769,17.52,21.7865,139.67,109.82,11.6,12.114
2021-10-15,136.35,15.356,14.6,2.9177,2.9177,3.739,132.35,177.9,16.445,23.19,1196.3,1.341,14.5638,18,22.3059,142.54,110.09,11.58,11.877
2021-10-22,136.35,15.158,14.48,2.9275,2.9275,3.7506,132.35,177.9,16.4671,23.46,1196.3,1.342,14.5638,18.13,22.4736,142.54,110.09,11.6,11.886
2021-10-29,138.23,15.678,14.31,2.9231,2.9231,3.7483,133.14,180.61,16.3184,23.42,1208.62,1.347,14.988,17.91,22.3996,142.26,110.11,11.56,11.891
2021-11-06,133.83,14.894,14.02,2.8544,2.8544,3.653,130.45,166.77,16.8303,22.95,1220.42,1.323,14.1804,18.62,21.4067,143.44,109.58,11.38,11.939
2021-11-19,138.23,15.623,14.13,2.9313,2.9313,3.7513,134.11,180.61,16.2261,23.43,1208.62,1.348,14.988,17.85,22.3026,144.2,110.11,11.58,12.066
2021-11-26,138.23,16.049,13.78,2.9281,2.9281,3.7545,134.11,180.61,15.6363,23.32,1208.62,1.342,14.988,17.67,21.7875,144.2,110.11,11.58,11.877
2021-12-03,130.62,13.155,13.12,2.8285,2.8285,3.618,126.93,162.56,15.6638,21.83,1193.09,1.295,13.1669,17.63,20.4165,133.5,109.09,11.23,11.444
2021-12-11,138.23,15.881,14.47,2.9276,2.9276,3.7548,133.14,180.61,16.5779,23.86,1208.62,1.35,14.988,17.98,22.547,142.26,110.11,11.56,12.193
2021-12-17,139.92,15.669,13.87,2.9292,2.9292,3.755,134.06,182.44,15.8757,23.01,1188.23,1.346,14.9769,17.45,21.8986,142.77,109.82,11.61,12.049
2021-12-24,139.92,15.534,14.17,2.9374,2.9374,3.7612,134.06,182.44,16.2124,23.32,1188.23,1.349,14.9769,17.66,21.9184,142.77,109.82,11.62,12.128
2021-12-31,148.59,15.99,14.27,2.9381,2.9381,3.7697,135.89,188.58,16.3517,23.41,1200.45,1.35,15.0448,17.71,22.1302,144.17,110.04,11.63,12.139
2022-01-14,148.59,16.069,15.03,2.9513,2.9513,3.7834,135.89,188.58,17.2823,24,1200.45,1.347,15.0448,18.59,22.6119,144.42,110.04,11.63,12.184
2022-01-21,148.59,15.951,14.85,2.961,2.961,3.7951,134.86,188.58,16.8105,22.9,1200.45,1.347,15.0448,18.47,22.5163,144.42,110.04,11.64,12.047
2022-01-28,148.59,16.062,14.81,2.9577,2.9577,3.7931,134.86,188.58,16.5491,23.29,1200.45,1.346,15.0448,17.96,22.5308,144.42,110.04,11.65,11.94
2022-02-04,148.59,16.062,15.25,2.9558,2.9558,3.7901,134.86,188.58,16.9977,23.6,1192.33,1.345,14.7163,18.35,22.6486,142,109.91,11.66,12.013
2022-02-11,148.59,16.236,15.55,2.9707,2.9707,3.8039,134.86,188.58,17.4394,23.66,1192.33,1.344,14.7163,18.65,22.5737,142,109.91,11.65,12.167
